Transaction_id,Salary_rate
1,825173.41
2,713023.0
3,505655.49
4,2477.67
5,420623.23
6,553877.68
7,296813.98
8,537094.85
9,80754.63
10,921787.99
11,25534.76
12,847981.95
13,800955.14
14,167670.72
15,91644.72
16,173168.55
17,170018.56
18,966674.83
19,332223.57
20,719290.85
21,558940.14
22,204687.91
23,486840.97
24,477114.42
25,228894.6
26,530688.17
27,933264.77
28,106798.05
29,158912.3
30,145037.14
31,806159.98
32,633657.7
33,172753.99
34,218000.76
35,128794.23
36,722216.44
37,191972.5
38,639656.81
39,756416.18
40,806412.86
41,602436.19
42,81875.44
43,832027.41
44,132375.88
45,664039.45
46,366952.87
47,301664.64
48,347029.01
49,170935.01
50,399339.49
51,670634.59
52,261794.4
53,851834.07
54,737115.95
55,116435.01
56,956955.1
57,360689.2
58,278281.82
59,905159.79
60,982345.25
61,988406.2
62,323131.73
63,165602.28
64,682426.21
65,837883.43
66,314208.22
67,817775.98
68,904719.16
69,300614.9
70,714852.47
71,503554.33
72,261438.31
73,694353.56
74,843484.71
75,896162.72
76,829225.87
77,246929.43
78,851671.24
79,266566.53
80,741144.45
81,542810.41
82,345904.9
83,811153.67
84,590374.32
85,411437.71
86,384402.84
87,961994.96
88,440548.1
89,916496.8
90,745852.64
91,212898.68
92,852427.53
93,945931.61
94,363429.97
95,472525.66
96,465596.82
97,694068.43
98,66322.25
99,489078.96
100,806313.77
101,83761.81
102,931473.71
103,829807.45
104,893985.82
105,704222.83
106,430252.25
107,938068.35
108,20008.02
109,877381.57
110,680719.93
111,729217.24
112,83929.92
113,62348.05
114,619592.32
115,132027.88
116,693975.22
117,141491.51
118,194485.41
119,480855.82
120,238367.64
121,356249.69
122,131442.29
123,10862.52
124,591585.48
125,577567.66
126,316999.44
127,522565.57
128,371887.13
129,787690.05
130,877419.65
131,104900.5
132,679208.87
133,887802.65
134,575779.03
135,857123.08
136,477134.84
137,677507.13
138,171393.45
139,978548.08
140,171413.94
141,537370.73
142,235732.38
143,412246.67
144,502718.49
145,154031.75
146,437434.26
147,237904.38
148,880039.96
149,887567.54
150,695380.69
151,29500.2
152,308091.29
153,264958.25
154,651042.16
155,211095.4
156,943497.89
157,223633.8
158,368879.59
159,964351.46
160,871698.21
161,713326.91
162,905658.3
163,749905.06
164,215292.8
165,301587.11
166,120376.85
167,746466.83
168,876155.38
169,341658.36
170,607870.0
171,943790.08
172,977811.58
173,702752.6
174,244239.63
175,969611.83
176,187798.53
177,225629.66
178,6241.32
179,498447.97
180,623798.05
181,927585.38
182,334240.62
183,408889.72
184,87972.52
185,631589.57
186,777561.0
187,374154.5
188,846885.35
189,748649.17
190,680532.35
191,64403.37
192,81483.88
193,361653.05
194,895610.3
195,325002.78
196,627836.03
197,421549.25
198,531368.28
199,695191.43
200,278269.92
201,28216.06
202,27015.14
203,759748.17
204,531069.4
205,883315.54
206,453978.67
207,47903.36
208,574287.73
209,182533.64
210,391510.15
211,197685.99
212,425778.54
213,739829.27
214,390763.15
215,949758.8
216,181142.68
217,679151.06
218,656311.37
219,307848.57
220,706171.59
221,138478.49
222,949919.18
223,782734.7
224,216419.91
225,31902.88
226,810661.49
227,915673.94
228,959806.31
229,352013.13
230,194986.0
231,534670.64
232,453186.09
233,999553.75
234,720729.64
235,84581.28
236,417458.93
237,516133.58
238,644643.45
239,890309.68
240,246336.39
241,421166.04
242,449548.61
243,250032.6
244,409845.65
245,962032.83
246,340667.41
247,849126.99
248,792107.06
249,551245.01
250,351032.85
251,356763.92
252,616556.53
253,189272.67
254,89429.14
255,792750.44
256,795409.86
257,504979.54
258,584336.91
259,791511.1
260,125037.8
261,578143.17
262,361140.87
263,776690.04
264,822920.89
265,602014.99
266,727507.16
267,872934.26
268,741537.49
269,102355.83
270,356776.3
271,286847.98
272,303556.24
273,164267.8
274,7731.72
275,995525.8
276,644925.17
277,862338.88
278,757469.04
279,198312.8
280,734554.2
281,396429.23
282,286815.43
283,729732.63
284,809731.89
285,694537.99
286,86958.26
287,749484.64
288,420089.35
289,190398.83
290,170018.33
291,231369.35
292,468970.17
293,587502.98
294,338727.53
295,663850.54
296,699495.23
297,559562.26
298,497172.75
299,617560.64
300,157032.48
301,145233.83
302,172651.7
303,588317.49
304,988642.34
305,412284.13
306,965687.3
307,779717.62
308,783203.7
309,219945.94
310,976264.09
311,168884.74
312,634211.13
313,29920.47
314,542117.17
315,596561.97
316,67737.97
317,865330.67
318,381814.19
319,986430.6
320,146760.97
321,379288.75
322,245623.03
323,737381.29
324,942011.39
325,748574.8
326,398586.72
327,764662.09
328,19847.33
329,833503.65
330,816182.26
331,894010.36
332,337606.52
333,578724.3
334,466878.2
335,999268.79
336,422714.8
